                  26                   2                   3                   2                   1                   2                   7                   7                   8                   0                   8                   0                  -1                   4                   2                  -1                   5                   5
                  27                   1                   2                   2                   1                   1                   1                   1                   1                   4                   2                   2                  -1                   1                   2                  -1                   5                  27
                  28                   2                   3                   2                   2                   1                   7                   1                   1                   1                   0                   0                  -1                   5                   2                  -1                   2                  98
                  29                   2                   4                   2                   1                   1                   7                   1                   3                   4                   2                   0                  -1                   2                   2                  -1                   5                  23
                  30                   3                   3                   2                   1                   2                   7                   7                   1                   1                   3                   0                  -1                   3                   2                  -1                   5                  16
                  31                   2                   2                   2                   1                   1                   7                   1                   1                   1                   0                   0                  -1                   5                   2                  -1                   4                  17
                  32                   3                   3                   2                   1                   2                   1                   1                   1                   1                   2                   2                  -1                   1                   2                  -1                   1                  20
                  33                   1                   2                   2                   1                   1                   1                   1                   7                   1                   3                   1                  -1                   1                   2                  -1                   1                  25
                  34                   3                   2                   2                   2                   1                   1                   3                   1                   1                   1                   2                  -1                   1                   2                  -1                   5                  21
                  35                   1                   5                   2                   1                   2                   7                   1                   0                   1                   2                   0                  -1                   4                   2                  -1                   4                  18
                  36                   2                   3                   2                   1                   1                   7                   1                   7                   1                   0                   0                  -1                   5                   2                  -1                   1                  22
                  37                   2                   3                   2                   1                   1                   4                   1                   1                   3                   2                   2                  -1                   1                   2                  -1                   2                  21
                  38                   1                   2                   2                   1                   2                   3                   3                   7                   3                   2                   2                  -1                   1                   2                  -1                   1                  23
                  39                   3                   3                   2                   1                   2                   7                   3                   3                   3                   0                   0                  -1                   5                   2                  -1                   1                  23
                  40                   2                   2                   2                   1                   2                   7                   7                   0                   1                   1                   0                  -1                   2                   2                  -1                   5                  16
                  41                   3                   3                   2                   1                   2                   7                   1                   7                   1                   1                   0                  -1                   5                   2                  -1                   1                  18
                  42                   1                   3                   2                   3                   2                   1                   0                   7                   1                   2                   2                  -1                   1                   2                  -1                   2                  17
                  43                   2                   3                   0                   3                   2                   3                   3                   1                   3                   2                   1                  -1                   1                   2                  -1                   2                  22
                  44                   3                   4                   0                   1                   2                   7                   4                   4                   4                   0                   0                  -1                   5                   2                  -1                   1                  16
                  45                   2                   3                   2                   1                   1                   7                   8                   1                   1                   0                   0                  -1                   3                   2                  -1                   5                  10
                  46                   3                   1                   2                   1                   1                   7                   3                   1                   1                   0                   0                  -1                   5                   2                  -1                   1                  21
                  47                   2                   3                   0                   2                   2                   7                   1                   1                   3                   0                   0                  -1                   5                   2                  -1                   1                  27
                  48                   1                   3                   0                   3                   1                   3                   1                   3                   4                   0                   0                  -1                   1                   2                  -1                   1                  19
                  49                   3                   4                   3                   1                   1                   7                   4                   4                   3                   0                   0                  -1                   5                   0                  -1                   6                  16
                  50                   2                   3                   2                   1                   2                   7                   4                   7                   4                   0                   0                  -1                   3                   2                  -1                   1                  23
                  51                   2                   4                   2                   3                   2                   7                   3                   4                   3                   0                   0                  -1                   5                   2                  -1                   1                  24
                  52                   1                   3                   0                   1                   2                   3                   1                   1                   1                   2                   2                  -1                   1                   2                  -1                   5                  21
                  53                   2                   4                   2                   1                   1                   7                   3                   3                   1                   0                   0                  -1                   5                   2                  -1                   2                  98
                  54                   3                   5                   2                   1                   1                   4                   1                   1                   4                   2                   2                  -1                   1                   2                  -1                   1                  26
                  55                   1                   4                   2                   1                   2                   3                   1                   1                   3                   3                   2                  -1                   1                   2                  -1                   2                  27
                  56                   2                   3                   2                   1                   2                   3                   1                   1                   3                   2                   2                  -1                   1                   1                  -1                   2                  25
                  57                   2                   3                   2                   1                   2                   7                   1                   3                   4                   3                   0                  -1                   3                   2                  -1                   1                  21
